feature,importance
avg_monthly_cubes,0.668876750442109
order_trend_pct,0.04843793918472663
days_since_last_order,0.0449890185232149
payment_delay_days,0.041861743000351365
recent_vs_avg,0.03345085485358919
complaints_last3m,0.02681981697640873
am_assigned,0.022833609684938232
google_rating,0.0183060459002607
outreach_response_rate,0.01413800753534361
order_volatility,0.014020328109583945
instagram_followers,0.012126347156559539
order_slope,0.011500655945446804
seating_capacity,0.009373704736216302
months_onboarded,0.00890686821795287
city_enc,0.007633218060179412
flavours_ordered,0.006663707482614486
type_enc,0.006547968724425264
cuisine_enc,0.0035134154660789074
